"","external_gene_name","description","ensembl_gene_id","gene_biotype","go_id","chromosome_name","start_position","end_position","strand"
"126","Pianp","PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]","ENSMUSG00000030329","protein_coding","GO:0050776",6,124996694,125003096,1
"127","Pianp","PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]","ENSMUSG00000030329","protein_coding","GO:0016020",6,124996694,125003096,1
"128","Pianp","PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]","ENSMUSG00000030329","protein_coding","GO:0016021",6,124996694,125003096,1
"129","Pianp","PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]","ENSMUSG00000030329","protein_coding","GO:0003674",6,124996694,125003096,1
"130","Pianp","PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]","ENSMUSG00000030329","protein_coding","GO:0008150",6,124996694,125003096,1
"131","Pianp","PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]","ENSMUSG00000030329","protein_coding","GO:0016323",6,124996694,125003096,1
"144","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","",6,125009145,125037870,1
"145","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0005634",6,125009145,125037870,1
"146","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0000790",6,125009145,125037870,1
"147","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0005925",6,125009145,125037870,1
"148","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0045944",6,125009145,125037870,1
"149","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0000977",6,125009145,125037870,1
"150","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0000978",6,125009145,125037870,1
"151","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0001228",6,125009145,125037870,1
"152","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0000981",6,125009145,125037870,1
"153","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0006357",6,125009145,125037870,1
"154","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0043565",6,125009145,125037870,1
"155","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0017124",6,125009145,125037870,1
"156","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0050714",6,125009145,125037870,1
"157","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:0006913",6,125009145,125037870,1
"158","Zfp384","zinc finger protein 384 [Source:MGI Symbol;Acc:MGI:2443203]","ENSMUSG00000038346","protein_coding","GO:1990837",6,125009145,125037870,1
"159","4930557K07Rik","RIKEN cDNA 4930557K07 gene [Source:MGI Symbol;Acc:MGI:1925452]","ENSMUSG00000108034","antisense","",6,125010173,125049851,-1
"160","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0035064",6,125039760,125049265,1
"161","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0008285",6,125039760,125049265,1
"162","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0043065",6,125039760,125049265,1
"163","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0005634",6,125039760,125049265,1
"164","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0046872",6,125039760,125049265,1
"165","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0005654",6,125039760,125049265,1
"166","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0005829",6,125039760,125049265,1
"167","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0016573",6,125039760,125049265,1
"168","Ing4","inhibitor of growth family, member 4 [Source:MGI Symbol;Acc:MGI:107307]","ENSMUSG00000030330","protein_coding","GO:0005515",6,125039760,125049265,1
