"","bin_ind","bin_start","bin_end","chr_ind","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"1",389,9000000,10000000,3,0,0,0.995661929693343,0.989373252179635,0.345641299961941,"2","remaining"
"2",437,57000000,58000000,3,0,0,0.996110695587135,0.989175851291331,0.283816012245603,"2","remaining"
"3",529,149000000,150000000,3,0,0,0.987434554973822,0.98466853100839,0.255076613758789,"2","remaining"
"4",537,157000000,158000000,3,0,0,0.992969334330591,0.990853758841915,0.280909177678295,"2","remaining"
"5",550,9000000,10000000,4,0,0,0.988780852655198,0.976706695180128,0.255791397698498,"2","remaining"
"6",552,11000000,12000000,4,0,0,0.989678384442782,0.990228656028952,0.262561127377195,"2","remaining"
"7",573,32000000,33000000,4,0,0,0.986686611817502,0.978911005099523,0.265368498079175,"2","remaining"
"8",584,43000000,44000000,4,0,0,0.985789080029918,0.98322092449416,0.279622197027757,"2","remaining"
"9",594,53000000,54000000,4,0,0,0.986088257292446,0.984635630860339,0.2507417060475,"2","remaining"
"10",597,56000000,57000000,4,0,0,0.994016454749439,0.987662444481,0.275280788328323,"2","remaining"
"11",607,66000000,67000000,4,0,0,0.872550486163052,0.971014969567363,-0.330252125103088,"2","remaining"
"12",608,67000000,68000000,4,0,0,0.844128646222887,0.960355321598947,-0.333393468126745,"2","remaining"
"13",609,68000000,69000000,4,0,0,0.889454001495886,0.974765586445139,-0.275351820783759,"2","remaining"
"14",610,69000000,70000000,4,0,0,0.897232610321616,0.979042605691726,-0.374267098670408,"2","remaining"
"15",614,73000000,74000000,4,0,0,0.833657442034405,0.951011679552558,-0.293805948767428,"2","remaining"
"16",618,77000000,78000000,4,0,0,0.861032161555722,0.97282447771015,-0.349040345034327,"2","remaining"
"17",619,78000000,79000000,4,0,0,0.870456245325355,0.968086856390854,-0.330064736629963,"2","remaining"
"18",620,79000000,80000000,4,0,0,0.903066566940912,0.971245270603718,-0.301096340728438,"2","remaining"
"19",633,92000000,93000000,4,0,0,0.891548242333583,0.967692054614246,-0.321772439734957,"2","remaining"
"20",653,112000000,113000000,4,0,0,0.562602842183994,0.875176838295772,-0.43591851909417,"2","remaining"
"21",654,113000000,114000000,4,0,0,0.456993268511593,0.872248725119263,-0.527527352333055,"2","remaining"
"22",830,132000000,133000000,5,0,0,0.982797307404637,0.986839940779733,0.257881497577857,"2","remaining"
"23",831,133000000,134000000,5,0,0,0.989528795811518,0.985359434117454,0.261213922522837,"2","remaining"
"24",860,10000000,11000000,6,0,0,0.918623784592371,0.982398420792894,-0.299615268291896,"2","remaining"
"25",863,13000000,14000000,6,0,0,0.91264023934181,0.977924000658003,-0.273523634242432,"2","remaining"
"26",864,14000000,15000000,6,0,0,0.923859386686612,0.984240829083731,-0.272780060718504,"2","remaining"
"27",865,15000000,16000000,6,0,0,0.918474195961107,0.972758677414048,-0.29895450583404,"2","remaining"
"28",869,19000000,20000000,6,0,0,0.852954375467464,0.970916269123211,-0.425568252936332,"2","remaining"
"29",876,26000000,27000000,6,0,0,0.882124158563949,0.963908537588419,-0.275798100376952,"2","remaining"
"30",911,61000000,62000000,6,0,0,0.920718025430067,0.982464221088995,-0.261628250540464,"2","remaining"
"31",929,79000000,80000000,6,0,0,0.909050112191473,0.983122224050008,-0.275371002635007,"2","remaining"
"32",963,113000000,114000000,6,0,0,0.992819745699327,0.993123869057411,0.303373971004018,"2","remaining"
"33",975,125000000,126000000,6,0,0,0.999401645474944,0.996512584306629,0.500626185597022,"2","remaining"
"34",979,129000000,130000000,6,0,0,0.991473448017951,0.983352525086363,0.328494370253143,"2","remaining"
"35",980,130000000,131000000,6,0,0,0.951084517576664,0.924000658002961,0.25244937812212,"2","remaining"
"36",981,131000000,132000000,6,0,0,0.987584143605086,0.985852936338213,0.369409539596416,"2","remaining"
"37",982,132000000,133000000,6,0,0,0.993118922961855,0.97729889784504,0.352511452063433,"2","remaining"
"38",983,133000000,134000000,6,0,0,0.986686611817502,0.98022701102155,0.399190039027721,"2","remaining"
"39",985,135000000,136000000,6,0,0,0.997905759162304,0.991511761802928,0.378612496575906,"2","remaining"
"40",986,136000000,137000000,6,0,0,0.983844427823485,0.989735153808192,0.337855230122465,"2","remaining"
"41",987,137000000,138000000,6,0,0,0.994764397905759,0.990755058397763,0.416049866661602,"2","remaining"
